editorial_net_vs_production,editorial_selections,identity_net_vs_production,identity_selections,image,production_selections
0,60,0,60,t01.jpg,60
0,60,1,61,t02.jpg,60
0,60,0,60,t03.jpg,60
0,60,0,60,t04.jpg,60
0,40,0,40,t05.jpg,40
0,43,2,45,t06.jpg,43
0,40,1,41,t07.jpg,40
0,41,2,43,t08.jpg,41
0,61,0,61,t09.jpg,61
0,60,0,60,t10.jpg,60
0,45,9,54,t11.jpg,45
0,60,0,60,t12.jpg,60
0,60,0,60,t13.jpg,60
0,60,0,60,t14.jpg,60
1,42,2,43,t15.jpg,41
0,60,1,61,t16.jpg,60
0,60,0,60,t17.jpg,60
0,60,0,60,t18.jpg,60
0,42,3,45,t19.jpg,42
0,42,2,44,t20.jpg,42
0,60,0,60,t21.jpg,60
0,60,0,60,t22.jpg,60
0,46,6,52,t24.jpg,46
3,53,4,54,t25.jpg,50
0,60,0,60,t26.jpg,60
0,60,0,60,t27.jpg,60
0,40,0,40,t28.jpg,40
0,40,1,41,t29.jpg,40
0,40,0,40,t30.jpg,40
0,60,0,60,t31.jpg,60
0,60,0,60,t32.jpg,60
0,40,0,40,t33.jpg,40
0,40,0,40,t34.jpg,40
0,60,1,61,t35.jpg,60
2,49,11,58,t36.jpg,47
0,60,0,60,t37.jpg,60
0,40,0,40,t38.jpg,40
0,40,1,41,t39.jpg,40
0,49,5,54,t40.jpg,49
0,60,0,60,t41.jpg,60
0,60,0,60,t42.jpg,60
0,40,1,41,t43.jpg,40
0,40,4,44,t44.jpg,40
0,40,0,40,t45.jpg,40
0,60,0,60,t46.jpg,60
0,60,0,60,t47.jpg,60
0,49,6,55,t48.jpg,49
0,40,0,40,t49.jpg,40
0,60,0,60,t50.jpg,60
0,62,-1,61,t51.jpg,62
0,60,0,60,t52.jpg,60
0,60,4,64,t54.jpg,60
0,60,0,60,t55.jpg,60
0,60,0,60,t56.jpg,60
0,60,0,60,t57.jpg,60
0,40,2,42,t58.jpg,40
0,43,8,51,t59.jpg,43
0,60,0,60,t60.jpg,60
0,60,1,61,t61.jpg,60
0,60,0,60,t62.jpg,60
0,60,0,60,t63.jpg,60
-1,41,-1,41,t64.jpg,42
0,60,0,60,t65.jpg,60
0,60,0,60,t66.jpg,60
0,60,0,60,t67.jpg,60
0,60,0,60,t68.jpg,60
0,40,1,41,t69.jpg,40
0,40,1,41,t70.jpg,40
0,20,0,20,tg_0056972ab9debcb840c36ac23ad0387e715cb22fc4ed49dbcf35159f83592aa5.png,20
0,20,0,20,tg_063b2c3fd5a61ea4fd955bed8d11b523ee5634086c647e378aaf33e3784abcf7.png,20
0,20,0,20,tg_093fe18b5e8a685a1ec1a38813fa2dfddce5ca84853723c13d1dfc2a6ac4a429.png,20
0,20,1,21,tg_0f3c7da5b7971b89c68fb0a5a07b1b23c563c32a94ee6b3ae5a77fce11d95bcc.png,20
0,20,0,20,tg_115f2b69f05bd8ad48114ece66c3c31d0149f85335b9a9c884a4d790d3268fa0.png,20
0,20,0,20,tg_15bd818b86c205c6364eac5614bdda8a9daa968bc6336d9605cf05dacc6a7712.png,20
0,20,0,20,tg_184d3bea3fe23bc3fb8460164de9e8535a8f6a7e43b472c1528d8729c659ac13.png,20
0,20,0,20,tg_1a1d47475ade7da4e7e32a3dfef2e1aadb479df288d6a502a7d5f93f96e11500.png,20
0,0,1,1,tg_1a73e33d64ecdbdcce0ced1691e91457efd50720116168b28a2371d6b8a8eec6.png,0
0,20,-20,0,tg_204869c6d40d2610b92dbcbff883303e72a7d1ae972b74d8c25d94b0ec61994d.png,20
0,19,1,20,tg_2051b1ac566abdb8335f8967f32f8f23bd71b4fb2cb0231659869045868b14c9.png,19
0,20,0,20,tg_2a4c080a88934c20c64f8c8a793f2aa39fbc653108387d1af27dca8f885a9f14.png,20
0,20,0,20,tg_2b351e489fc2b20f68c7f7867b3b17fb1636bb3ed2e7b6593e3345e10b09d5a2.png,20
0,20,3,23,tg_33eef87a7e4bd7c159bdb35f0378709b1c0324477b62d344e3b3ceec9e7f19a3.png,20
-2,0,1,3,tg_3e1a0b3d5d9dede45d7780b3032297c02d710093bb26876608d34d5ccc160586.png,2
0,0,1,1,tg_3fb0e6e6f45d742323a00b0d45fc0a0a524bc0ed0ba11a2c84b6c54c86fb2a0f.png,0
0,19,1,20,tg_41278618713255420e6676088c07312c0d90d6e688f7c1f58d9dfd33ec3c494f.png,19
0,20,0,20,tg_4c9b5b2d2dd30ba5dc20d850646ca3e897d782d8d27634866f85e63cb06b8d98.png,20
0,20,0,20,tg_52f9b9f99f66ff3bc786183803f3a8d68277604471cd411027441989337c9351.png,20
0,20,0,20,tg_5375f62e3ac4d5c44f8f691b94a9cfc52eb3f2e020e9fcc8c2fd2f4475e960b4.png,20
1,20,-2,17,tg_56ad83fce3f67cb04eaa9bf4baaf858d776971e7e52f29e9c97f58a1b964e2f7.png,19
0,20,0,20,tg_596607c93f9aca406d8543ecc792e9a87fad06354303a69663df183d7417a764.png,20
0,20,1,21,tg_59b18840cbf67ac4a14a64f3858e7fcee40dfb483db36ec5b911fc22592dffaa.png,20
0,20,2,22,tg_5ceb13e34965449fa47555c1e2108e196fb1570290539ef580758be01671a614.png,20
0,20,0,20,tg_5e892c3dc2c64f50bfa16bae89ebe44c7e8176e90d70096859d3588c364d4442.png,20
-1,20,0,21,tg_5fbdcee710fe7e18425f4eeefe811890b3c8a03803f78b23685ad11309840679.png,21
0,20,0,20,tg_61a9371a23ddbb958d63bdc98006bcb3eb7780f7468b67a87d8ab40a4db873e2.png,20
0,20,0,20,tg_661b01c39a8d223df51cd0365e79ffe7e3c4f86ac81fa0af114ce95be49cb831.png,20
0,20,2,22,tg_674edd406aaf07fbc4ca5e75563eda331453fdd240176531871d0671c6473113.png,20
0,20,-20,0,tg_684fb4425801aebe8e8c52211921567da1cf4bd04cee430a3b30bed03d3276f5.png,20
-1,20,0,21,tg_6ecc88f6e06f86515044a409421f059b2cf756001b9a6929a0183808a9b2e19e.png,21
0,0,1,1,tg_6ed99b617e093add13e311291c0bf176dceccaf7978a98885476d932ec0c4493.png,0
0,20,0,20,tg_6f70887295eff72d62a86e86c3983e7d960cafd35784e0f5d6a4d790558cf37b.png,20
0,20,0,20,tg_6fa3eaaeb0a2c38a2a6f9a3b9e336ca96c269ec3c01b4a613427da70b4b5e649.png,20
0,20,0,20,tg_7d67f551934f28edeff341b70ccfce5f65234b2e73ec99a1b60bd0dda30606b4.png,20
0,20,0,20,tg_7d6ced255a74d563b6ba9811429970c51f605647aac25819e14104f836d93434.png,20
0,15,2,17,tg_7dbba6c4f8dd7af5635a2716dc751f209b4263f22f809114a0c801553ccdfc40.png,15
0,20,0,20,tg_7fcbc9b9b70b6bf56c1d90c0a6e34ecf0e9e31db416700afc372265999e35370.png,20
0,20,0,20,tg_8032ac6c90f358c9f5146680280edda94a7475b752b3c8e64c1670ba64986822.png,20
