quote_id,decision,winner,reason_tags,note,verification_label,source_class,meaning_included,length_reduction_band
a7510dd49389e910c983d6d18e1b57a96b02b8c1d02e5e660aa80f1021226224,a,v2,,,Historical paraphrase,Margaret Thatcher Foundation,True,5_to_19_percent
a19e13783f2b7b47348d1e95ece8445a69b5bb21b8312628c2cea66ccc2563ac,b,v2,,,Exact wording not verified,canonical locator only,True,20_to_39_percent
5ff1169a7688823bd091284eaafe66348fc0d2fde67146ff2b20738b14a6663c,a,v2,,,Normalised wording,Margaret Thatcher Foundation,False,40_percent_or_more
8c839e92d3961147ef0070f049a2caa7f0c070bffafe4988153659825d9fa50b,b,v2,,,Exact wording not verified,no public URL,True,5_to_19_percent
1948eccad1dcd6bff2e25fef1bf600b5912093154fd62284035e82da05e65c55,a,v2,,,Verified excerpt,other authoritative source,True,5_to_19_percent
56c77eedf86a10a6748dc8e20d096e415708541735c07f5c88a338f49d29cc9c,b,v2,,,Exact wording not verified,Thatcher-authored publication,True,5_to_19_percent
8ad833d18c206e9f31e4e45e8479c99ccefd3ecf2c9cc6d5b7e2ef92c3242dc9,a,v2,,,Composite wording,Margaret Thatcher Foundation,True,5_to_19_percent
a215345a00a2314d7d8e44dfaaf0e35c72821efe79ef85c0afef7da7a81ea34a,b,v2,,,Normalised wording,Margaret Thatcher Foundation,True,20_to_39_percent
cf7a03be1c6e34efbcfec0cc8010544e2deab777a05cb0193d237814244f5c8e,b,v2,,,Commonly misattributed wording,canonical locator only,True,5_to_19_percent
7c29b290a8e1898c86c39b0cdd23c60161ca73cc068d4a888a19f1f7f3967d0d,a,v2,,,Exact wording not verified,other authoritative source,True,20_to_39_percent
d6ce2b7b10e28e0b801ad84890f229365fea41a8b494bfdf41adb9cc360373fd,b,v2,,,Commonly misattributed wording,canonical locator only,True,5_to_19_percent
f9810bed41c49a9cb47f3b68f4a12ab1eca5405258e28d1426447dd2d5b85f3e,a,v2,,,Exact wording,Margaret Thatcher Foundation,True,20_to_39_percent
456fc17b3dd9d2fea708f67ee16f70d10ea092484c43403006087beca8e71c62,a,v2,,,Exact wording,canonical locator only,True,5_to_19_percent
5fbdcee710fe7e18425f4eeefe811890b3c8a03803f78b23685ad11309840679,a,v2,,,Exact wording,Margaret Thatcher Foundation,True,5_to_19_percent
b593a0ec642d5ab87e1bacd8d0f5d26f6ee48d48c41b0fd410e02c68e062c7df,b,v2,,,Commonly misattributed wording,canonical locator only,True,5_to_19_percent
f900baf560999c350070e4600757cfa22f640c82e510e2f9f5e2c35059263155,a,v2,,,Exact wording not verified,no public URL,True,20_to_39_percent
5f14e6e600773cf394a3f3a3ae21aef10f108691eef50093002571765a5a4a82,b,v2,,,Exact wording not verified,other authoritative source,True,5_to_19_percent
eca9b542f2b3b84e3d917eb4dda8b4539505b74db73cfc3b5c0278bdf96593e4,a,v2,,,Exact wording not verified,no public URL,True,20_to_39_percent
b3645f6e9b300b993be393db1d791147d2eafad5e333e9f00d336cfb4ff89696,a,v2,,,Normalised wording,contemporary interview,True,5_to_19_percent
c47e16f9df9a49c7d0a6b632004dbed8e4fd4bfc2f313e23668ccfe30328fdc2,a,v2,,,Historically verified variant,Hansard,True,5_to_19_percent
74539c04c492f1b8147b584a781b2f32c7f4f68e8c2f6773ff9415ff31c1a2b3,a,v2,,,Exact wording not verified,no public URL,True,20_to_39_percent
53699726287c4fed9ef2b086e53cc2938b1fd482a7b5541f4718df3439598215,b,v2,,,Exact wording not verified,no public URL,True,20_to_39_percent
f24b3fed7f85ac08b56e4d56f08913f9a32706029daa1f73bcc500db992d13f4,a,v2,,,Normalised wording,canonical locator only,False,40_percent_or_more
49f8640fda9f890389e594dfdda488f012367be1bb0e61c5bcb06556f2d49a5f,a,v2,,,Exact wording,Hansard,True,20_to_39_percent
0e54df9b0adb2337f436d7346964965c56669c997386d75f2d58104ec88e1766,b,v2,,,Composite wording,Margaret Thatcher Foundation,True,5_to_19_percent
b316430b4f3e47f2816d0d7b44c211301234c9521bfa2417864b17be11ea9b32,b,v2,,,Exact wording,Margaret Thatcher Foundation,True,20_to_39_percent
54d5a420549526c6b9bc6af7665519325c278239549273303ffede952b729789,a,v2,,,Historically verified variant,Margaret Thatcher Foundation,True,5_to_19_percent
3fb0e6e6f45d742323a00b0d45fc0a0a524bc0ed0ba11a2c84b6c54c86fb2a0f,b,v2,,,Verified excerpt,contemporary interview,True,5_to_19_percent
36b2a8c67d50ee96a66e498fee99e582249046518a8a106b9f45a7252a04c250,b,v2,,,Exact wording,Hansard,True,5_to_19_percent
90a6e7991136e4ca46e618b5ff3cc570de1d16f1f47f69bfdc11e7004b44ee1d,a,v2,,,Exact wording not verified,canonical locator only,True,20_to_39_percent
697ca41825ed6037eac03257d9e7940e826ce6bdb988c583c0e3e1c423701e1c,a,v2,,,Verified excerpt,Margaret Thatcher Foundation,False,40_percent_or_more
8868d3b5b60f2860eeacadc90620dd160196466d2d5d21013aa277f8aef51c01,b,v2,,,Commonly misattributed wording,canonical locator only,True,5_to_19_percent
272c9af2e31064654a8ab74480de7d7357795514e12d947587eb155f31cca996,b,v2,,,Exact wording not verified,official Conservative publication,True,20_to_39_percent
f0209c9a0effe2f5cd4b95e03d5de956dfafeaaf34174599188690fa7cced1df,b,v2,,,Verified excerpt,Margaret Thatcher Foundation,False,40_percent_or_more
9c43feed102e8c7aa5aa9cc3e21593bfeab1a80461d49b983d15f33319874591,a,v2,,,Exact wording,Margaret Thatcher Foundation,True,20_to_39_percent
8312afd41d8a4871f7c62f21e6bab0840e48aef15d48e311fc152cc1e1d03e1d,b,v2,,,Exact wording,Margaret Thatcher Foundation,True,5_to_19_percent
6fa3eaaeb0a2c38a2a6f9a3b9e336ca96c269ec3c01b4a613427da70b4b5e649,b,v2,,,Historically verified variant,Margaret Thatcher Foundation,True,20_to_39_percent
2f5df9185bdf06e8ffe184a0e65edfe238a7dcea2a3b482103f763947aa05467,a,v2,,,Historical paraphrase,Margaret Thatcher Foundation,True,5_to_19_percent
313172d18e2d915e514e4a202a8b1bcbb077472c2504dee63fe98edaf60e0b3a,b,v2,,,Exact wording not verified,other authoritative source,True,5_to_19_percent
c4e5bf571902e31862464389cb724bcb6c429b965edc3d37b89e389db3fd84fa,a,v2,,,Historically verified variant,contemporary interview,True,5_to_19_percent
094d8407d9c2dc0c1cbb1e19da44c6913e96cc127244850415601c163744cacb,b,v2,,,Verified excerpt,Margaret Thatcher Foundation,True,5_to_19_percent
c2633f930597a6a5281672a0525268067de6b21081ba014381622f9757e21919,b,v2,,,Historically verified variant,official Conservative publication,True,5_to_19_percent
7c3abbd29080ede882430a4d7b6cd70223ff539f9f3ca5a192a4c172e827e226,b,v2,,,Exact wording,Margaret Thatcher Foundation,True,5_to_19_percent
a3f5d7ce4a52a64ac2d6c5fb5a74384a0178f7f9d1f3a8771001fc6d2c2a82cf,b,v2,,,Verified excerpt,Hansard,True,5_to_19_percent
d2b235b5393d164dae7e25b5e88449473531324dda1162fc0cfcdba22b2c9859,b,v2,,,Exact wording,Thatcher-authored publication,False,40_percent_or_more
ac98a87cc5725606dc0deac53f611b5b23b3619ae921f6776b94d211a2ca36da,b,v2,,,Exact wording not verified,no public URL,False,little_or_none
d9acc52446c0e8c7b1ba16c04ffd21a9cf2329f8b64078f531aa132547445dba,a,v2,,,Exact wording not verified,Thatcher-authored publication,True,20_to_39_percent
5ec95cef5d0ad0f79c87c05b6a9e74eb10c0858b0f9cf737e34fd13ca381c42a,a,v2,,,Normalised wording,canonical locator only,True,5_to_19_percent
aade2d14bf9a942fbef8e0952f7b5f87c176f3592185bed1475a50867380b142,a,v2,,,Exact wording,canonical locator only,False,40_percent_or_more
677bda2ba3097d2452133f66a0eab9c9740a06a0be8d53bdd712f52b53ff7bab,b,v2,,,Historically verified variant,other authoritative source,True,5_to_19_percent
